id,date,value
Natural Gas (Dry) Production,2019-07-01,2.965529
Natural Gas (Dry) Production,2019-08-01,3.037634
Natural Gas (Dry) Production,2019-09-01,2.950891
Natural Gas (Dry) Production,2019-10-01,3.076025
Natural Gas (Dry) Production,2019-11-01,4.026154666666667
Natural Gas (Dry) Production,2019-12-01,4.976284333333333
Natural Gas (Dry) Production,2020-01-01,5.926413999999999
Natural Gas (Dry) Production,2020-02-01,5.825331
Natural Gas (Dry) Production,2020-03-01,3.065726
Natural Gas (Dry) Production,2020-04-01,2.888862
Natural Gas (Dry) Production,2020-05-01,2.807519
Natural Gas (Dry) Production,2020-06-01,2.75569
Natural Gas (Dry) Production,2020-07-01,2.897964
Natural Gas (Dry) Production,2020-08-01,2.888611
Natural Gas (Dry) Production,2020-09-01,2.798438
Natural Gas (Dry) Production,2020-10-01,2.869664
Natural Gas (Dry) Production,2020-11-01,3.912658
Natural Gas (Dry) Production,2020-12-01,4.955652
Natural Gas (Dry) Production,2021-01-01,5.998646
Natural Gas Plant Liquids Production,2019-02-01,1.0341049999999998
Natural Gas Plant Liquids Production,2019-03-01,0.528837
Natural Gas Plant Liquids Production,2019-04-01,0.518351
Natural Gas Plant Liquids Production,2019-05-01,0.541173
Natural Gas Plant Liquids Production,2019-06-01,0.518834
Natural Gas Plant Liquids Production,2019-07-01,0.526359
Natural Gas Plant Liquids Production,2019-08-01,0.532905
Natural Gas Plant Liquids Production,2019-09-01,0.539914
Natural Gas Plant Liquids Production,2019-10-01,0.561574
Natural Gas Plant Liquids Production,2019-11-01,0.7588613333333334
Natural Gas Plant Liquids Production,2019-12-01,0.9561486666666668
Natural Gas Plant Liquids Production,2020-01-01,1.1534360000000001
Natural Gas Plant Liquids Production,2020-02-01,1.089811
Natural Gas Plant Liquids Production,2020-03-01,0.585081
Natural Gas Plant Liquids Production,2020-04-01,0.531865
Natural Gas Plant Liquids Production,2020-05-01,0.528563
Natural Gas Plant Liquids Production,2020-06-01,0.559933
Natural Gas Plant Liquids Production,2020-07-01,0.597857
Natural Gas Plant Liquids Production,2020-08-01,0.596061
Natural Gas Plant Liquids Production,2020-09-01,0.572131
Natural Gas Plant Liquids Production,2020-10-01,0.590024
Natural Gas Plant Liquids Production,2020-11-01,0.7931976666666667
Natural Gas Plant Liquids Production,2020-12-01,0.9963713333333334
Natural Gas Plant Liquids Production,2021-01-01,1.199545
Nuclear Electric Power Production,2019-02-01,1.438787
Nuclear Electric Power Production,2019-03-01,0.679562
Nuclear Electric Power Production,2019-04-01,0.632586
Nuclear Electric Power Production,2019-05-01,0.700904
