id,rmse,mae,mape
Biomass Energy Production,0.040394015990089474,0.03321746291666667,7.437734218442997
Coal Production,0.23796914179747045,0.20544773750000003,19.147323886592982
Crude Oil Production,0.4564727055307664,0.3936307708333333,16.756357074788102
Geothermal Energy Production,0.0010582848315937134,7.733177083333323e-4,3.5154331790525997
Hydroelectric Power Production,0.014582789190313878,0.008605585555555564,3.701000004161823
Natural Gas (Dry) Production,0.2296301709115973,0.19960768749999996,5.877182427948511
Natural Gas Plant Liquids Production,0.03137417914994487,0.025691477500000007,4.228923217779579
Nuclear Electric Power Production,0.018496461952582827,0.014989151250000013,1.8814677217892914
Solar Energy Production,0.012683587076124853,0.008835404083333335,6.654118259692004
Wind Energy Production,0.03601447068944239,0.02744192249999999,8.21918970107795
