.model_id,.model_desc,.type,mae,mape,mase,smape,rmse,rsq
27,DEEPAR,Test,0.04390836151101788,4.5637352293666495,0.03693433256861686,4.572352592079679,0.08147636418475036,0.9950620243542664
30,Mean Ensemble,Test,0.04536804749607955,7.150170270154292,0.03816217450492979,6.706779991950436,0.0891557596064214,0.995925546431713
32,Weighted Ensemble,Test,0.04847943897047725,8.906200189009438,0.04077937914459115,8.055313526624241,0.09014353027324486,0.9964984864015849
31,Median Ensemble,Test,0.048824010165357715,7.213907606107406,0.041069221595261676,6.771642826527249,0.09162382773345609,0.9961366252501266
28,DEEPSTATE,Test,0.04950034626715185,4.842753223780567,0.04163813424998595,4.888072302375511,0.10603934526590357,0.992764343667055
6,RECURSIVE GLMNET,Test,0.08194268414090397,18.276922087279317,0.06552749653961173,14.414489059366003,0.139941756226886,0.9879659223990699
4,RECURSIVE GLMNET,Test,0.08248147272936883,18.40604917662305,0.06595835217652868,14.664326279672629,0.14062935000682872,0.987842549973889
33,Stacked Ensemble - Elastic Net,Test,0.08825446153869938,14.031398798909677,0.07057486563581615,12.42809597394661,0.15128246503139856,0.9877164811660258
3,SNAIVE [12],Test,0.10276513448636247,10.794092215168455,0.08217868458968891,10.819391465121488,0.1892701603742559,0.9771017547050467
14,RECURSIVE XGBOOST,Test,0.1119917832820255,14.357842221745809,0.0895570027808576,12.474513468379323,0.20569874197823773,0.9763397118362425
22,RECURSIVE RANDOMFOREST,Test,0.11751150851480217,14.537550046523581,0.09397098774952707,12.670349133598508,0.21694073069850234,0.9727054840398901
20,RECURSIVE RANDOMFOREST,Test,0.12159641259203054,14.870346491779257,0.09723758245034199,13.015588538739717,0.22378243336044776,0.968534610879618
21,RANDOMFOREST,Test,0.13185376137233232,32.80551991579681,0.10544012540769794,21.671023981652564,0.23152170082578982,0.9719815598569396
26,LIGHTGBM,Test,0.15795977778659484,54.98553044005402,0.12631644790290786,28.659519343546116,0.2433462633649817,0.9802599829291159
17,RECURSIVE LIGHTGBM,Test,0.12023192293952911,13.604902677578771,0.09614643451053476,11.967251650950827,0.2460854981393874,0.975163306707794
23,RECURSIVE KERNLAB,Test,0.12024362144123918,10.15933151146442,0.09615578950712,9.95336295958703,0.2618419250359812,0.9717824263827607
25,RECURSIVE KERNLAB,Test,0.19937786105778804,108.41105960658415,0.15943744383664593,41.435845456330824,0.27806614107690814,0.9743201820878344
16,RECURSIVE XGBOOST,Test,0.15916088250580002,22.806462535924588,0.12727694103486448,28.350576566045294,0.29026808799574905,0.9685737363304286
18,LIGHTGBM,Test,0.22503872310199152,106.87898080379054,0.1799577876163737,40.69398386075282,0.30837187713473524,0.966776393733697
15,XGBOOST,Test,0.22410157638449404,96.72798760123807,0.17920837503693796,39.41214930672794,0.3106556274824373,0.9643658231373191
19,RECURSIVE LIGHTGBM,Test,0.15511706618956156,17.517222446177378,0.12404320317959124,18.414687296076025,0.3108948026582861,0.9692391982077266
24,KERNLAB,Test,0.20208081504670342,62.11080294465956,0.1615989279277799,30.405528223651817,0.4385053562971085,0.9476153043144051
2,WINDOW FUNC [12],Test,0.2800912318832292,26.56265816733058,0.22398188954176743,26.062124977973856,0.5040663559910605,0.8318833090420104
12,PROPHET W/ XGBOOST ERRORS,Test,0.294603088454931,126.82311644109458,0.23558665500991305,59.09905419423652,0.5044352776730213,0.8448993262836398
5,GLMNET,Test,0.2802105484031015,107.61062771732604,0.22407730395154687,55.328050230518365,0.5082038653653167,0.8489292453510863
29,Tuned LightGBM - Calendar,Test,0.33140383405024876,29.598743318976485,0.27876648091856454,26.919388918686906,0.5120252235877136,0.8523431672894819
1,WINDOW FUNC [6],Test,0.32085108818512614,30.660533054427308,0.25657651797967546,28.39702083767027,0.5156641688450944,0.8346122619617267
13,"ARIMA(4,0,1)(0,0,1)[12] WITH NON-ZERO MEAN W/ XGBOOST ERRORS",Test,0.4229908687100807,246.34226589862735,0.33825512278833436,68.61948081103138,0.6697536402118227,0.7311321142321557
9,"SEASONAL DECOMP: ETS(A,N,N)",Test,0.858916712124433,703.3059117584431,0.68685401841082006,89.05233925999092,1.225969522342776,0.019982918131187404
10,"ARIMA(2,0,1)(1,0,0)[12] WITH NON-ZERO MEAN",Test,0.8897734678743796,631.7096185252042,0.7115293872595071,94.52028644215662,1.226848539847707,0.004922172517232057
8,"TBATS(0.062, {1,4}, 0.964, {<12,2>})",Test,0.8063274847948645,377.58998377003627,0.6447997404970829,88.99752463972249,1.3124927045610104,6.692654059082299e-6
7,"ETS(M,AD,A)",Test,1.3011955027157769,1321.981292512778,1.0405332055629415,107.27026932457963,1.4406506783922446,0.017760345293524275
11,"NNAR(1,1,10)[12]",Test,1.1409388528081674,635.3598285344826,0.9123800069904691,107.37910150752073,1.7004699120862345,0.001385351179559318
