id,rmse,mae,mape
Biomass Energy Production,0.04316913624756487,0.03474186379154524,7.655463592026261
Coal Production,0.2820083935664132,0.24629269442717236,22.18959374662231
Crude Oil Production,0.5251246936917549,0.4092446608664194,16.544201491158784
Geothermal Energy Production,0.00080911381190406305,7.000098359187446e-4,3.4558230922920394
Hydroelectric Power Production,0.014997963424573907,0.01117101025040945,4.6451836737672725
Natural Gas (Dry) Production,0.3106742376435119,0.2573973888880412,7.188920825097744
Natural Gas Plant Liquids Production,0.04143262756007339,0.03444103550752002,5.295998417158105
Nuclear Electric Power Production,0.02407410013209535,0.020168495698293043,2.3658439026939777
Solar Energy Production,0.015403653275239222,0.01215779453754425,9.520808923452394
Wind Energy Production,0.034495946207911014,0.027437667878627777,8.580648751554708
