.model_id,.model_desc,.type,id,mae,mape,mase,smape,rmse,rsq
28,DEEPSTATE,Test,Geothermal Energy Production,5.943731247782703e-4,2.4132884484779002,0.16725943403260646,2.376496721176229,9.805352025654107e-4,0.9986702247011812
3,SNAIVE [12],Test,Geothermal Energy Production,8.40013888888889e-4,3.7223792863440885,0.25934707158027875,3.701292144203533,0.001112660290158814,0.9691524028790196
27,DEEPAR,Test,Geothermal Energy Production,0.0014269622232814625,7.927897852165426,0.40155397998690406,8.285063234882205,0.001463209969873284,0.9996939965911789
23,RECURSIVE KERNLAB,Test,Geothermal Energy Production,0.0019397626741218153,9.794711143708787,0.598885061007326,9.377607198022648,0.0021803999092658006,0.9681762532005183
27,DEEPAR,Test,Solar Energy Production,0.003688514029105502,3.5134814827028666,0.34017467758973546,3.511500599970726,0.004544537260537026,0.8025390648719513
29,Tuned LightGBM - Calendar,Test,Geothermal Energy Production,0.005874172702264619,29.737996544532137,1.653020233640426,27.365420343073037,0.006136917733444981,0.08196788369216414
2,WINDOW FUNC [12],Test,Geothermal Energy Production,0.0053636249999999995,24.405391428408297,1.6559731394974226,24.239097271524145,0.006306857790150748,NA
1,WINDOW FUNC [6],Test,Geothermal Energy Production,0.005727277777777777,27.156287419493736,1.7682478104715542,25.9153236021742,0.006384452753600966,NA
17,RECURSIVE LIGHTGBM,Test,Geothermal Energy Production,0.0067760510375150336,37.68717413535662,2.0920475443358812,29.148846147846886,0.008323099268661097,0.3876615736577774
28,DEEPSTATE,Test,Solar Energy Production,0.0074418195068041496,7.109362150338037,0.6863247723696532,7.382393957878628,0.008517608056965966,0.651843325557876
22,RECURSIVE RANDOMFOREST,Test,Geothermal Energy Production,0.007419322950462964,40.41080059263855,2.2906522210675497,30.19722507610645,0.009423139536825241,0.3598696953439173
20,RECURSIVE RANDOMFOREST,Test,Geothermal Energy Production,0.007824094759259251,42.50224132025311,2.4156220396123658,31.705774795080487,0.009740911203673888,0.3557789924121283
